// cobalt genesis mid-2021
// delegatee, delegator, shares
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,948000000000
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qqkgm04sr7ukkj7ejuepc774wecad3r535x5ku8m,96940582797422
oasis1qp0jmx8j8jxxtqcxmdy2te0h646wnhvg2c6d9r7r,oasis1qr2zw0l903skt999tryu2e99v7t4g20hxc5nka9s,109999999000
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,5290000000000
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qpek2yf2nhvqfec6ktugulqmas2lxerjmy7ewmte,99991676433
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qq4ntsphna650demn7p7xmwsjuwy9rvwxstua5y0,115866313706
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qqqx2vyl3kxhjd9mwq99gta6q8rv65x6fyduxlx4,238759623704
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrfn3wvc4upe3zs2g38e84vlsyg2g4g73uunvlwx,199970868425
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrjhlpspc34sl3j8kuenmkexx3vpn232mclxrxny,993549056
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrrsfj6msmgvxzchxzmn9nx7wzmvegzz9qrl97ze,46127919860594
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qz8z4xj88ktq6ve8dk96fxuvjawggkfa8c9pcpzt,8842586587
oasis1qp334gzlzrap6k2ch6wc9vxxplw9sg3v9cfvvgsy,oasis1qp334gzlzrap6k2ch6wc9vxxplw9sg3v9cfvvgsy,5200000000000
oasis1qp3fd5rplv5uh6nc9vn85ejeaszewjv2xgvfts07,oasis1qp3fd5rplv5uh6nc9vn85ejeaszewjv2xgvfts07,157210849969
oasis1qp3fd5rplv5uh6nc9vn85ejeaszewjv2xgvfts07,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,100000000000000
oasis1qp3rhyfjagkj65cnn6lt8ej305gh3kamsvzspluq,oasis1qp3rhyfjagkj65cnn6lt8ej305gh3kamsvzspluq,281658598119742
oasis1qp3rhyfjagkj65cnn6lt8ej305gh3kamsvzspluq,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,780000000000000
oasis1qp3rhyfjagkj65cnn6lt8ej305gh3kamsvzspluq,oasis1qpdks9ccwxa27hyccd78d58vhpl9wyddmy4xvhvk,6081081000000000
oasis1qp3rhyfjagkj65cnn6lt8ej305gh3kamsvzspluq,oasis1qqs6ylpfurhf6gc9mw232fkmrt3d0673lyzc5xf2,27027027000000000
oasis1qp3rhyfjagkj65cnn6lt8ej305gh3kamsvzspluq,oasis1qrad7s7nqm4gvyzr8yt2rdk0ref489rn3vn400d6,845000000000000
oasis1qp3rhyfjagkj65cnn6lt8ej305gh3kamsvzspluq,oasis1qrhxy6ukc044vefr9w6ksjxtjqdun39zlu923r4t,4886798004093
oasis1qp3rhyfjagkj65cnn6lt8ej305gh3kamsvzspluq,oasis1qrs6dszxmtc9d8j5uwx0tr4pph30c4hvc52slg6t,2273151247029
oasis1qp4ajz4vdgx3ze42ulk7m0jkxfstqcl87qymg9nx,oasis1qp4ajz4vdgx3ze42ulk7m0jkxfstqcl87qymg9nx,9140000000000
oasis1qp4f47plgld98n5g2ltalalnndnzz96euv9n89lz,oasis1qp4f47plgld98n5g2ltalalnndnzz96euv9n89lz,6002457822978
oasis1qp4f47plgld98n5g2ltalalnndnzz96euv9n89lz,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,4080000000000000
oasis1qp4f47plgld98n5g2ltalalnndnzz96euv9n89lz,oasis1qpdks9ccwxa27hyccd78d58vhpl9wyddmy4xvhvk,6081081000000000
oasis1qp4f47plgld98n5g2ltalalnndnzz96euv9n89lz,oasis1qqs6ylpfurhf6gc9mw232fkmrt3d0673lyzc5xf2,27027027000000000
oasis1qp4f47plgld98n5g2ltalalnndnzz96euv9n89lz,oasis1qrad7s7nqm4gvyzr8yt2rdk0ref489rn3vn400d6,4420000000000000
