// cobalt 2021/2022
// delegatee, delegator, shares
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,18575701969877
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qpk366qvtjrfrthjp3xuej5mhvvtnkr8fy02hm2s,950559978
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qq7vk7g5mlmn4wv2j302wh2frckcz7nkfg0s6ad4,2893657
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qqjak3gnnnxkc8rm9e6vu3rwt3hm3shq0y47c6zr,2375367603252947
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qqkgm04sr7ukkj7ejuepc774wecad3r535x5ku8m,239720956702712
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qqwlh56mjn4yhdxu77jtgv2wwcewr6990gc6tqky,9485104990208
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qr9tujkc2su4lsjdm46yf2jrs7cq85k4vg5vda6j,4727608
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qrad7s7nqm4gvyzr8yt2rdk0ref489rn3vn400d6,748178249901193
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qrwlv09una8naq5v0are95lfatcugdcrfcma450p,9056295899972
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qzcfu5qvsned4kaqzgun889mtjpead5s65rlmhpq,8599618081380
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qzq5lcm3jv4zrmty6zhy77tfyzs99k6pyul2s2yv,15595221482320
oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,oasis1qzs6pktxajn23mrfa6yn44d24el6fulv5yxgp00t,69777391166415
oasis1qp0jmx8j8jxxtqcxmdy2te0h646wnhvg2c6d9r7r,oasis1qr2zw0l903skt999tryu2e99v7t4g20hxc5nka9s,109999999000
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,17123995046213
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qp7p42f6gfhkylxr9anuruv4fahfcz0mp5ygpamd,1589714062172
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qpek2yf2nhvqfec6ktugulqmas2lxerjmy7ewmte,99991676433
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qpfzrhq654ud3ely4pd0cgaa3p0nza33hvpc9ec0,1673580938270
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qpxfamrnxlgxrpna0al26kdssherghs6rv3k3s4u,1068773
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qq4ntsphna650demn7p7xmwsjuwy9rvwxstua5y0,115866313706
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qq59za7wkgsxz4qj6rg3gt0rvk0j0r9m5qpuga6s,606814536598
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qq8374addqn6v2p67pp4gule9h7zhmxdevzmxh79,6886597556103
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qq870lv0jac4w5f0sdt0fdteeqpcqenrmgx06mvy,662077764873
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qq907u7r44lvxlzd7xa5wzx4d025gay2qgayw2hz,662077764873
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qqjak3gnnnxkc8rm9e6vu3rwt3hm3shq0y47c6zr,5265001061192726
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qqkxrdv4jtf5l3096mh3pqrtqvt7g0eg0qqlsl8p,167246240565592
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qqqjlx7mwxjr2nc7aeepn6uyyq5gywtweqeuru6c,90369833907
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qqqx2vyl3kxhjd9mwq99gta6q8rv65x6fyduxlx4,137703618262960
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qqu9505ay0jmfnwakwn8ldtkl0aa8f2yg5gplvf9,24146576761755
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qqvpd23f9ejpza6thtfe88q4lsqqf3e6r5k73jw5,995026322
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qqzl0fz36naeu65agkhejq4glkcvxp7kcunt39ps,11245198152704
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qr8xk98xkcld8hs8q68k4hn997adxz865qla65np,548088406700
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrad7s7nqm4gvyzr8yt2rdk0ref489rn3vn400d6,743382330074235
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrcqrf3wu7v0vhylpnvymzj00qmtcrnv4vqkkwea,41488
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrfn3wvc4upe3zs2g38e84vlsyg2g4g73uunvlwx,199970868425
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrhzyxk0rzacxfwqfqd605q495dusea07gnr3gw2,3886871635169
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrjhlpspc34sl3j8kuenmkexx3vpn232mclxrxny,993549056
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrq9v0540q926lnpn6s89a7py9wryqah7udk87tt,8672415366244
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qrrsfj6msmgvxzchxzmn9nx7wzmvegzz9qrl97ze,46127919860594
oasis1qp0xuvw2a93w4yp8jwthfz93gxy87u7hes9eu2ev,oasis1qz8z4xj88ktq6ve8dk96fxuvjawggkfa8c9pcpzt,8842586587
